RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,0.3,1162,8570,600,1356,11918
PU,0.1,2800,21327,2113,4113,31672
PU,0.3,1049,8392,657,1809,12103
PU,0.2,1517,12591,2049,2999,19684
PU,0.3,1046,20252,909,2795,25633
PU,0.2,999,16704,691,3139,22038
PU,0.1,2390,12761,3129,2638,21521
PU,1.8,675,18192,364,3470,23786
PU,0.3,4751,25279,1535,6583,42041
PU,0.5,3794,20925,620,5609,32218
PU,0.2,200,16447,60,3196,20829
PU,1.5,1047,18103,729,4007,24865
PU,0.4,371,39228,1450,4731,46817
PU,0.5,526,13408,1065,1788,17067
PR,0.6,372,16665,905,4099,23411
PU,1.3,1168,13619,808,3217,19301
TM,0.1,1392,121605,827,17385,148147
PU,0.9,181,11602,172,1184,13246
PU,0.2,335,22664,593,3859,28132
PU,0.1,1909,11872,1981,3238,19916
PU,0.6,356,7194,587,1508,9981
PU,1.6,521,20135,492,3182,24611
PU,0.7,1449,11211,1278,1799,16087
PU,1.3,3197,97320,1206,14069,118996
PU,0.2,1116,11693,2262,2559,18470
PU,2.1,3110,80789,575,17698,115171
PU,1.3,1774,75167,1793,12755,94876
PU,0.2,776,17092,20,3407,21408
PU,0.2,1273,7445,1504,2637,13394
PU,0.6,1444,9562,186,1697,13382
PU,0.5,1702,12340,175,2538,17361
PU,1,227,13234,175,1838,15797
PU,0.1,2788,18906,1122,4078,27773
PU,0.3,174,7697,320,1930,10357
PU,0.1,703,27335,634,3565,33142
PU,0.3,685,25299,1135,3981,31787
PU,3.7,157,14811,62,3407,22036
PU,1.4,113,12978,499,1168,14907
PU,0.3,1989,20283,36,1425,23922
PU,1.1,276,15362,287,2849,19654
PU,0.7,746,45218,232,7547,56720
PU,2,409,34311,559,3613,40656
PU,0.5,1532,21450,213,4678,29202
PU,0.4,148,7830,809,1254,10278
PU,0.4,330,8891,69,857,10375
PU,4.1,341,9435,895,1434,12507
PU,0.6,549,15750,968,2721,20278
PU,0.5,884,17892,108,3405,23367
TM,8.4,1071,84071,779,12771,102119
PU,0.6,1154,10350,600,2143,14720
PU,0.2,1719,72813,608,14763,96538
PU,0.9,948,46567,713,8504,59172
PU,0.3,1488,10481,247,3018,16232
PU,2.6,1324,21002,213,4934,29303
PU,2.6,2461,62928,649,15757,85752
PU,0.5,1559,6534,1980,1915,12364
PU,0.9,1579,16238,1200,3167,22728
PU,1.8,2223,71970,1292,14203,92560
PU,1.5,644,34972,307,4557,41542
PR,1.2,478,19020,682,2674,24084
PU,0.2,1776,25324,2123,5054,35146
PU,4.3,765,38206,466,6533,47436
PU,0.6,670,19810,3161,3391,27760
PU,0.4,1026,7562,1840,1909,12696
PU,0.5,2424,8883,1828,2959,16688
PU,0.3,2857,24573,1229,7191,37248
PU,0.2,1192,16392,847,3300,22393
PU,2.3,1897,47440,297,9888,60690
PU,0.3,569,42125,527,3967,47958
PU,0.3,578,20069,367,2790,24116
